Título do filme,vote_count,Ano,Plotwords,Gênero,Diretor,poster_path,overview,keywords
The Boss Baby,7346.0,2017,Born leader.,"Animation, Comedy, Family",Tom McGrath,/unPB1iyEeTBcKiLg8W083rlViFH.jpg,"""Born leader.""","baby, family relationships, sibling rivalry, unreliable narrator, baby brother"
Burnt,3506.0,2015,Never underestimate a man with everything to lose.,Drama,John Wells,/kGJLABjIb6F86vwY5w576JYHQxV.jpg,"""Never underestimate a man with everything to lose.""","career, london, england, drug addiction, diva, restaurant, redemption, drugs, chef, french cuisine, come back, fine dining"
Me Before You,13014.0,2016,Live boldly.,"Drama, Romance",Thea Sharrock,/Ia3dzj5LnCj1ZBdlVeJrbKJQxG.jpg,"""Live boldly.""","depression, small town, based on novel or book, england, artist, wheelchair, romance, love, caretaker, caregiver, disabled, valentine's day, twenty something, woman director, accident"
Bridge of Spies,7137.0,2015,"In the shadow of war, one man showed the world what we stood for.","Thriller, Drama",Steven Spielberg,/fmOOjHAQzxr0c1sfcY4qkiSRBH6.jpg,"""In the shadow of war, one man showed the world what we stood for.""","cia, spy, cold war, soviet union, pilot, lawyer, american, courtroom, russian spy, legal drama"
Vacation,3897.0,2015,What could go wrong?,"Comedy, Adventure","Jonathan Goldstein, John Francis Daley",/fYDALvoCt3DBlSWN6pSAnGQ9ld7.jpg,"""What could go wrong?""",mental hospital
Deepwater Horizon,4784.0,2016,"When faced with our darkest hour, hope is not a tactic.","Drama, Action",Peter Berg,/jgBIYCZACe3iaS9TL2XzVGkO5p5.jpg,"""When faced with our darkest hour, hope is not a tactic.""","rescue, sea, post-traumatic stress disorder (ptsd), based on true story, disaster, explosion, oil spill, trapped, oil rig , disaster movie, gulf of mexico, bp"
Suicide Squad,21830.0,2016,Worst. Heroes. Ever.,"Action, Adventure, Fantasy",David Ayer,/sk3FZgh3sRrmr8vyhaitNobMcfh.jpg,"""Worst. Heroes. Ever.""",firefighter
Wonder Woman,20615.0,2017,Power. Grace. Wisdom. Wonder.,"Action, Adventure, Fantasy",Patty Jenkins,/v4ncgZjG2Zu8ZW5al1vIZTsSjqX.jpg,"""Power. Grace. Wisdom. Wonder.""","based on comic, female protagonist, super power"
Aquaman,14666.0,2018,Home is calling.,"Action, Adventure, Fantasy",James Wan,/ufl63EFcc5XpByEV2Ecdw6WJZAI.jpg,"""Home is calling.""","hero, chase, atlantis, superhero, half-brother, based on comic, royalty, underwater, duringcreditsstinger, quest, dc extended universe (dceu), advanced civilization, two worlds"
Jigsaw,3877.0,2017,The game continues.,"Horror, Mystery","Peter Spierig, Michael Spierig",/7RwHxhdUNS996JPFNB9a7CJtlwR.jpg,"""The game continues.""","amnesia, investigation, lsd, murder"
The Visit,5036.0,2015,No one loves you like your grandparents.,"Horror, Thriller",M. Night Shyamalan,/hDrToKMpKYTdwdpOhshL8ko6WVp.jpg,"""No one loves you like your grandparents.""","farm, rap music, sibling relationship, pennsylvania, usa, grandparents, murder, single mother, oven, found footage, hide and seek, diaper"
The Flash,4833.0,2023,Worlds collide.,"Action, Science Fiction, Adventure",Andy Muschietti,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,"""Worlds collide.""","hero, secret identity, superhero, based on comic, superhuman, super power, aftercreditsstinger, butterfly effect, dc extended universe (dceu), superhuman abilities, loss of mother, absurd"
Avengers: Endgame,27173.0,2019,Avenge the fallen.,"Adventure, Science Fiction, Action","Anthony Russo, Joe Russo",/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,"""Avenge the fallen.""","superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship"
Avengers: Infinity War,31387.0,2018,Destiny arrives all the same.,"Adventure, Action, Science Fiction","Anthony Russo, Joe Russo",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"""Destiny arrives all the same.""","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, aftercreditsstinger, marvel cinematic universe (mcu), cosmic"
Captain Marvel,16472.0,2019,Higher. Further. Faster.,"Action, Adventure, Science Fiction","Anna Boden, Ryan Fleck",/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,"""Higher. Further. Faster.""","superhero, based on comic, alien invasion, super power, female hero, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), woman director, hero's journey, 1990s, alien technology"
The 5th Wave,5927.0,2016,Protect your own.,"Science Fiction, Adventure, Action",J Blakeson,/ja34BV577dtjWl2S5G1tB93IjYb.jpg,"""Protect your own.""","based on novel or book, dystopia, alien, alien invasion, human subjugation, environmental disaster, based on young adult novel"
Annihilation,9161.0,2018,Fear what's inside.,"Science Fiction, Horror",Alex Garland,/4YRplSk6BhH6PRuE9gfyw9byUJ6.jpg,"""Fear what's inside.""","depression, florida, quarantine, coma, based on novel or book, mutation, self-destruction, professor, dna, expedition, transformation, alligator, hybrid, swamp, meteor, grief, physicist, cancer, memory loss, psychologist, scientist, paramedic, missing person, beast, geologist, biologist, unusual phenomena, compound, missing husband, fauna, mysterious life form, flora"
Don't Breathe,7808.0,2016,"This house looked like an easy target, until they found what was inside.","Horror, Thriller, Crime",Fede Álvarez,/dSxHyPZ2nipSfvdft4IhQKjk5eZ.jpg,"""This house looked like an easy target, until they found what was inside.""","kidnapping, thief, blind, held captive, break in, blind man, trapped in a house"
13 Hours: The Secret Soldiers of Benghazi,3830.0,2016,"When everything went wrong, six men had the courage to do what was right.","War, Action, History, Drama, Thriller",Michael Bay,/fZlAxZMo6BId1SiqyjLmkd7oUB7.jpg,"""When everything went wrong, six men had the courage to do what was right.""","cia, based on novel or book, libya, assault rifle, mercenary, heroism, biography, based on true story, explosion, american abroad, death, u.s. ambassador"
Downsizing,4009.0,2017,We are meant for something bigger.,"Drama, Science Fiction, Comedy",Alexander Payne,/5bNzInSSAXfr0MFlHfb4IoQePVx.jpg,"""We are meant for something bigger.""","future, computer, therapist, married couple, shrinking, crowd, speculative, meditative, caucasian, thoughtful, reflective, pc, procedure, loving, inspirational, grand, provocative, direct, dramatic, sentimental, awestruck, bold, dignified, enchant, euphoric, exhilarated, hopeful, powerful, sympathetic"
We Are Your Friends,2413.0,2015,The world is yours.,"Drama, Music, Romance, Comedy",Max Joseph,/7RzpN4aLjM5FUc7Q3WsvNn2MuaR.jpg,"""The world is yours.""","los angeles, california, san fernando valley, dj"
The Neon Demon,3874.0,2016,Beauty is vicious.,"Horror, Thriller",Nicolas Winding Refn,/3rBo2AfWSlvsPmYFdJsNUMfkNIo.jpg,"""Beauty is vicious.""","jealousy, photographer, psychopath, obsession, necrophilia, motel, narcissism, manipulation, seduction, surrealism, swimming pool, murder, fame, teenage girl, los angeles, california, bathtub, lust, model, cannibal, fashion, eyeball, mortuary, body image, neon light, absurd, violence, callous"
Toy Story 4,10314.0,2019,Get ready to hit the road!,"Family, Comedy, Animation, Adventure",Josh Cooley,/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,"""Get ready to hit the road!""","friendship, cartoon, rescue mission, sequel, buddy, cowboy, duringcreditsstinger, toy comes to life"
Before I Wake,1936.0,2016,Fear your dreams.,"Drama, Fantasy, Horror, Thriller",Mike Flanagan,/sI9neTbF3ECdpf2MpC88EMGJH13.jpg,"""Fear your dreams.""","dream, nightmare, insomnia, orphan"
Criminal,1821.0,2016,The mission is in the memories.,"Action, Crime, Science Fiction",Ariel Vromen,/hn6HmGTopbbxv4Myy2IwGWxViFP.jpg,"""The mission is in the memories.""","con man, con artist"
Snowden,4525.0,2016,The only safe place is on the run.,"Drama, History, Crime, Thriller",Oliver Stone,/yfK7zxNL63VWfluFuoUaJj5PdNw.jpg,"""The only safe place is on the run.""","biography, idealism, idealist, national security agency (nsa), surveillance, whistleblower, political thriller, fighting the system, five eyes"
Central Intelligence,6215.0,2016,Saving the world takes a little Hart and a big Johnson.,"Action, Comedy",Rawson Marshall Thurber,/hXQVMbRNpf7c93e8clMY4W5DRm6.jpg,"""Saving the world takes a little Hart and a big Johnson.""","cia, espionage, spy, office, school, high school reunion, accountant"
The Accountant,7133.0,2016,Calculate your choices.,"Crime, Thriller, Drama",Gavin O'Connor,/fceheXB5fC4WrLVuWJ6OZv9FXYr.jpg,"""Calculate your choices.""","sniper, assassin, autism, money, gunfight, criminal, loner, numbers, accountant, brother brother relationship"
Dragon Ball Z: Resurrection 'F',1980.0,2015,"The worst wish in history, that is the beginning of despair.","Action, Animation, Science Fiction",Tadayoshi Yamamuro,/soq3AxjALdBfdPAm8H7yuMmNL5Y.jpg,"""The worst wish in history, that is the beginning of despair.""","resurrection, sequel, based on manga, alien attack, anime"
Money Monster,3075.0,2016,Not every conspiracy is a theory.,"Thriller, Drama",Jodie Foster,/r0Es5M6zTFpuV2sSaYtAlzz10qw.jpg,"""Not every conspiracy is a theory.""","sniper, new york city, police, bomb, hostage, hostage-taking, stock market, stock fraud, woman director, television / tv studio, cable news"
Demolition,2414.0,2016,Life: Some disassembly required.,"Comedy, Drama",Jean-Marc Vallée,/4t56LZ1KbOOxgKfqMKN6truBDVc.jpg,"""Life: Some disassembly required.""","infidelity, new york city, loss of loved one, pregnancy, dark comedy, carousel , father-in-law, car crash, pot smoking, grieving widower, grief, marijuana, male homosexuality, hospital, car accident, mourning, lgbt teen, grieving, vending machine, death of wife, investment banker, station wagon"
The Bélier Family,2428.0,2014,,"Comedy, Music, Drama",Eric Lartigau,/kAQeZUZ1pMTSjSF3d6eBZClFGgN.jpg,"""nan""","deaf, coming of age, teenage girl, singing, family, sign languages"
Power Rangers,4558.0,2017,Together we are more.,"Action, Adventure, Science Fiction",Dean Israelite,/bKYKyyIv5YnisxjZtDreWtYA386.jpg,"""Together we are more.""","spacecraft, autism, bullying, super power, superhero team, lgbt, reboot, female villain, ethnic diversity, based on tv series"
The Danish Girl,5885.0,2015,Find the courage to be yourself.,Drama,Tom Hooper,/mXZZIacI5FC8thzSC0lgQBQ2uAX.jpg,"""Find the courage to be yourself.""","paris, france, based on novel or book, denmark, copenhagen, denmark, artist, painter, historical fiction, art, transsexual, surgery, lgbt, 1920s, loving, intimate, gentle, sincere, sympathetic, tragic"
The Invitation,2786.0,2016,There is nothing to be afraid of.,"Thriller, Horror",Karyn Kusama,/otZMaGHWnKPgOODF6SSVNGqbI4X.jpg,"""There is nothing to be afraid of.""","business, food, canibal, horror"
Southpaw,5668.0,2015,Believe in hope.,"Action, Drama",Antoine Fuqua,/kSQ49Fi3NVTqGGXILmxV2T2pdkG.jpg,"""Believe in hope.""","sports, fighter, tragedy, death, boxing, box ring, father daughter relationship"
War Dogs,5301.0,2016,An American dream,"Comedy, Crime, Drama",Todd Phillips,/mDcPRjZC1bb6LavFU3gwsWdVfCM.jpg,"""An American dream""","corruption, smuggling (contraband), iraq, rise and fall, drugs, american exceptionalism"
Me and Earl and the Dying Girl,2686.0,2015,A Little Friendship Never Killed Anyone.,"Drama, Comedy",Alfonso Gomez-Rejon,/eLjS2bLMjln2n2I73Xu6TaANPDZ.jpg,"""A Little Friendship Never Killed Anyone.""","high school, tattoo, based on novel or book, parody, leukemia, coming of age, friends, cancer, teenage boy, high school student, pittsburgh, pennsylvania, based on young adult novel, teenager"
Teenage Mutant Ninja Turtles: Out of the Shadows,3714.0,2016,Raise some shell.,"Action, Adventure, Comedy, Family, Science Fiction",Dave Green,/euVaCiCWz3AALcQXHT6aUqdGUo6.jpg,"""Raise some shell.""","sibling relationship, turtle, based on comic, sequel, ninja, rat, teenage mutant ninja turtles, bebop and rocksteady"
The Little Prince,2907.0,2015,Growing up isn't the problem... forgetting is.,"Adventure, Animation, Fantasy, Family",Mark Osborne,/je5Z7gbFTzrs3FPHINo9yGiHoVo.jpg,"""Growing up isn't the problem... forgetting is.""","airplane, parent child relationship, philosophy, dystopia, utopia, little boy, old man, growing up, stop motion, neighbor, school, little girl, based on children's book, social differences"
The Witch,7474.0,2016,Evil takes many forms.,"Horror, Fantasy, Drama",Robert Eggers,/zap5hpFCWSvdWSuPGAQyjUv2wAC.jpg,"""Evil takes many forms.""",based on novel or book
The Founder,5261.0,2016,He took someone else's idea and America ate it up.,"Drama, History",John Lee Hancock,/8gLIksu5ggdfBL1UbeTeonHquxl.jpg,"""He took someone else's idea and America ate it up.""","greed, ambition, biography, family business , based on true story, salesman, corporate greed, fast food, corporate power, franchise, 1950s, burger, mcdonald's"
Youth,2166.0,2015,,"Comedy, Drama, Romance",Paolo Sorrentino,/ceRN51oeadmccAvqvDxpnnNRcLU.jpg,"""nan""","cultural revolution, sino vietnam war, female bully"
The Great Wall,5433.0,2016,1700 years to build. 5500 miles long. What were they trying to keep out?,"Action, Adventure, Fantasy",Zhang Yimou,/p70dq1YxabemdZDm5K6Q8G10wSn.jpg,"""1700 years to build. 5500 miles long. What were they trying to keep out?""","chinese emperor, great wall of china, 3rd century bc"
Creed,7784.0,2015,Your legacy is more than a name.,"Drama, Action",Ryan Coogler,/1BfTsk5VWuw8FCocAhCyqnRbEzq.jpg,"""Your legacy is more than a name.""","underdog, mexico, sports, mentor, trainer, cancer, spin off, underground fighting, boxing trainer, motivational speaker, boxing, legacy, boxing manager, boxing champion, famous brand, famous actor"
Kubo and the Two Strings,3743.0,2016,Be bold. Be brave. Be epic.,"Animation, Adventure, Family",Travis Knight,/la6QA9tk4Foq8OBH2Dyh5dTcw6H.jpg,"""Be bold. Be brave. Be epic.""","japan, samurai, magic, forgiveness, stop motion, storytelling, origami, feudal japan, mother son relationship"
La La Land,17777.0,2016,Here's to the fools who dream.,"Comedy, Drama, Romance",Damien Chazelle,/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,"""Here's to the fools who dream.""","dancing, dance, jazz, musical, ambition, casting, coffee shop, jazz club, traffic jam, hollywood, los angeles, california, pianist, pier, audition, planetarium, aspiring actor, movie set, sunset, one woman show, pool party, griffith observatory"
Green Room,2861.0,2016,One way in. No way out.,"Horror, Crime, Thriller",Jeremy Saulnier,/evZicaR7nXe4LiD9G6QYTorcJGO.jpg,"""One way in. No way out.""","neo-nazism, skinhead, swastika, escape, killing, heroin, self-defense, machete, gore, punk rock, oregon, usa, cover-up, sociopath, survival, murder, tension, dead body, rock music, pitbull, hard to kill, thug, brutality, witness to murder, punk band, fire extinguisher, music tour, white supremacists, killer dog, hardcore punk, feedback, mic stand, stabbed, brutal murder"
The Lost City of Z,2991.0,2017,A man's reach should exceed his grasp... or what's a heaven for?,"Adventure, Drama, History",James Gray,/dgDVkGFltTm1MCoFtlq91r7jwi9.jpg,"""A man's reach should exceed his grasp... or what's a heaven for?""","based on novel or book, snake, world war i, river, expedition, lost civilisation, tribe, biography, amazon rainforest, colonel, jungle, south america, explorer, journey, 1920s, mysterious lands"
Spotlight,8570.0,2015,Break the story. Break the silence.,"Drama, History",Tom McCarthy,/8DPGG400FgaFWaqcv11n8mRd2NG.jpg,"""Break the story. Break the silence.""","pedophilia, florida, newspaper, journalist, child abuse, court, judge, boston, massachusetts, journalism, sex scandal, victim, based on true story, cover-up, priest, conspiracy, lawyer, historical fiction, catholic, catholic church, lgbt, catholicism, 9/11, child molestation, archdiocese, investigative journalism, cardinal"
Puss in Boots: The Last Wish,8586.0,2022,Say hola to his little friends.,"Animation, Adventure, Fantasy, Comedy, Family",Joel Crawford,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,"""Say hola to his little friends.""","fairy tale, sequel, talking dog, spin off, aftercreditsstinger, talking cat, fear of death, shrek cinematic universe"
Spider-Man: Homecoming,22770.0,2017,Homework can wait. The city can't.,"Action, Adventure, Science Fiction",Jon Watts,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,"""Homework can wait. The city can't.""","high school, new york city, washington dc, usa, superhero, based on comic, reboot, aftercreditsstinger, marvel cinematic universe (mcu)"
Ghost in the Shell,8411.0,2017,There's nothing sadder than a puppet without a ghost.,"Science Fiction, Drama, Action",Rupert Sanders,/zCtL3UBgCoZzd7XTVGhvl6XY75E.jpg,"""There's nothing sadder than a puppet without a ghost.""","android, man vs machine, artificial intelligence (a.i.), computer virus, cyborg, dystopia, implantat, fugitive, female protagonist, cyberpunk, based on manga, adult animation, tech noir, anime"
Mike and Dave Need Wedding Dates,2533.0,2016,They needed hot dates. They got hot messes.,Comedy,Jake Szymanski,/alWBdyvXf1LSixnn1IfID5HMtLx.jpg,"""They needed hot dates. They got hot messes.""","hawaii, wedding, wedding date"
The Greatest Showman,9866.0,2017,The impossible comes true.,Drama,Michael Gracey,/b9CeobiihCx1uG1tpw8hXmpi7nm.jpg,"""The impossible comes true.""","adultery, circus, musical, biography, rags to riches, based on true story, outcast, singing, dreamer, freak show, grand"
The Purge: Election Year,5409.0,2016,Keep America great,"Action, Horror, Thriller",James DeMonaco,/gg7tlp45xqGWMra0sqQVPvybje2.jpg,"""Keep America great""","dystopia, sequel, calvary, legalized murder, attack on politician, military attack"
The Last: Naruto the Movie,2349.0,2014,,"Action, Romance, Animation",Tsuneo Kobayashi,/bAQ8O5Uw6FedtlCbJTutenzPVKd.jpg,"""nan""","ninja, anime, ninjas"
The Fundamentals of Caring,2264.0,2016,Caring is a funny thing.,"Comedy, Drama",Rob Burnett,/zZ0eda1GyHILNSoq9KF5u0hcq6O.jpg,"""Caring is a funny thing.""","wheelchair, road trip, caregiver, disability, muscular dystrophy"
Colonia,1957.0,2015,There is no turning back,"Drama, History",Florian Gallenberger,/p7oGFkMGaQR27R1olN9RoMzg4vS.jpg,"""There is no turning back""","kidnapping, 1970s, cult, chile, pinochet regime, religion, torture chamber, religious fundamentalism, military dictatorship, political unrest"
The Big Short,9583.0,2015,This is a true story.,"Comedy, Drama",Adam McKay,/scVEaJEwP8zUix8vgmMoJJ9Nq0w.jpg,"""This is a true story.""","based on novel or book, bank, fraud, wall street, biography, based on true story, finances, animated scene, historical fiction, loan, financial crisis, real estate, mortgage"
Look Who's Back,1882.0,2015,,Comedy,David Wnendt,/1CxZWytSiCzZiZA5k0AiLUFtQNA.jpg,"""nan""","based on novel or book, third reich (iii reich 1933-45), adolf hitler, black comedy"
Eddie the Eagle,2228.0,2016,"Win or lose, always aim high.","Comedy, Drama, History, Adventure",Dexter Fletcher,/r562gvTRVHnDSvG7MrKHEECSn1V.jpg,"""Win or lose, always aim high.""","underdog, sports, olympic games, mountain, ski jump, biography, based on true story, britain, snow skiing, 1980s, dedication"
Dark Phoenix,6908.0,2019,A Phoenix will rise. The X-Men will fall.,"Science Fiction, Action, Adventure",Simon Kinberg,/cCTJPelKGLhALq3r51A9uMonxKj.jpg,"""A Phoenix will rise. The X-Men will fall.""","superhero, mutant, telekinesis, based on comic, superhero team, 1990s, cosmic"
The Boy,3883.0,2016,Every child needs to feel loved.,"Horror, Mystery, Thriller",William Brent Bell,/kW2vgzhyWXQu5UxNzebPokipBqH.jpg,"""Every child needs to feel loved.""","mask, suicide, fire, england, loss of loved one, shower, country house, nanny, murder, mansion, doll, burn victim, secret passageway, broken mirror"
Beauty and the Beast,15879.0,2017,Be our guest.,"Family, Fantasy, Romance",Bill Condon,/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,"""Be our guest.""",based on fairy tale
Steve Jobs,4290.0,2015,Can a great man be a good man?,"Drama, History",Danny Boyle,/ljiRO29Y9khEERRqMluptUYunJ9.jpg,"""Can a great man be a good man?""","computer, biography, based on true story, father daughter relationship"
Concussion,2671.0,2015,Even legends need a hero,Drama,Peter Landesman,/gseayWAIFt3GQrEUNuUcYxT77Ud.jpg,"""Even legends need a hero""","american football, concussion, biography, doctor, professional sports, brain damage, sports injury, nfl (national football league), medical drama, human brain"
John Wick: Chapter 2,13905.0,2017,Never stab the devil in the back!,"Action, Thriller, Crime",Chad Stahelski,/hXWBc0ioZP3cN4zCu6SN3YHXZVO.jpg,"""Never stab the devil in the back!""","martial arts, assassin, hitman, gun, italy, roof, secret organization, sequel, revenge, shootout, handshake, neo-noir, dark, dogs, intense"
Jason Bourne,6050.0,2016,You know his name,"Action, Adventure, Thriller",Paul Greengrass,/xA7N41glw17MBQtcWSm2eBlBRuG.jpg,"""You know his name""","assassin, cia, amnesia, casino, chase, greece, flashback, hacking, las vegas, black ops, rogue agent, armored vehicle, reykjavík, iceland, hdd"
Spectral,1891.0,2016,How do you stop an enemy?,"Science Fiction, Thriller, Action",Nic Mathieu,/5yprxs7ZyBr58RsTQJrKCVmqk8X.jpg,"""How do you stop an enemy?""","supernatural, military"
Hacksaw Ridge,14545.0,2016,One of the greatest heroes in American history never fired a bullet.,"Drama, History, War",Mel Gibson,/wuz8TjCIWR2EVVMuEfBnQ1vuGS3.jpg,"""One of the greatest heroes in American history never fired a bullet.""","japan, world war ii, violent father, pacifism, bible, gore, biography, based on true story, okinawa, conscientious objector, religion, soldier, alcoholic, war hero, medic, us military, battle of okinawa, congressional medal of honor"
The Lego Batman Movie,5280.0,2017,Always be yourself...unless you can be Batman.,"Animation, Action, Comedy, Family",Chris McKay,/snGwr2gag4Fcgx2OGmH9otl6ofW.jpg,"""Always be yourself...unless you can be Batman.""","superhero, based on comic, based on toy, spin off, super power, lego"
Despicable Me 3,7502.0,2017,Oh brother.,"Action, Animation, Comedy, Family, Adventure","Kyle Balda, Pierre Coffin",/6t3YWl7hrr88lCEFlGVqW5yV99R.jpg,"""Oh brother.""","prison, twin brother, sequel, jail, despicable, illumination, minions"
Spider-Man: Into the Spider-Verse,16794.0,2018,More than one wears the mask.,"Animation, Action, Adventure, Science Fiction","Bob Persichetti, Peter Ramsey, Rodney Rothman",/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,"""More than one wears the mask.""","superhero, based on comic, aftercreditsstinger, alternate universe"
Neighbors 2: Sorority Rising,4536.0,2016,It's parenthood vs. sisterhood.,Comedy,Nicholas Stoller,/eyjcLLwxuRXACbglIbwWwaXK9DN.jpg,"""It's parenthood vs. sisterhood.""","alcohol, college, sequel, sorority, neighbor, family, fraternity, bathroom humor"
Hardcore Henry,2576.0,2015,First they made him dangerous. Then they made him mad.,"Action, Adventure, Science Fiction",Ilya Naishuller,/ik1uZyiMSxF9HqrgRKUNfMCfr3z.jpg,"""First they made him dangerous. Then they made him mad.""","martial arts, cyborg, gore, murder, levitation, terrorist group, moscow, russia, first person view, good versus evil, experimental film"
Frozen Fever,1875.0,2015,,"Animation, Family, Adventure, Comedy","Jennifer Lee, Chris Buck",/dJ9sxSn95KoWwErBrEILD3Lucg6.jpg,"""nan""","princess, sibling relationship, birthday, cartoon, birthday party, snowman, reindeer, birthday cake, surprise party, frozen, woman director, birthday present, short film"
The Secret Life of Pets,8351.0,2016,Think this is what they do all day?,"Family, Comedy, Adventure, Animation",Chris Renaud,/bc3rCMgP4bbxNqGQCRlpJyU8otF.jpg,"""Think this is what they do all day?""","bunny, pet, anthropomorphism, dog, animal, apartment building, sewer, terrier, manhattan, new york city, rodent, pets, mongrel, illumination"
Nerve,6937.0,2016,We dare you.,"Mystery, Adventure, Crime","Henry Joost, Ariel Schulman",/qmSpHC0CSNyNll9WhlwWYuwoQ28.jpg,"""We dare you.""","new york city, technology, internet, hacking, game, dare, cellphone video, taking a risk, based on young adult novel"
The Gift,3405.0,2015,Not every gift is welcome.,"Thriller, Mystery, Drama",Joel Edgerton,/kH3qLP8pn68Xq5XwvmPkCyaAU7W.jpg,"""Not every gift is welcome.""","aids, hiv, gay theme"
The Forest,1821.0,2016,Everyone comes here looking for a way out,"Horror, Thriller, Mystery",Jason Zada,/1TohqCqMbaiuRLJPrPW0vnQP3lE.jpg,"""Everyone comes here looking for a way out""","africa, central african republic, aka people"
Zoolander 2,2330.0,2016,Long time no Z,"Comedy, Adventure, Action",Ben Stiller,/n8AJzALlTPBwe9Tkv3tdxbiAr9i.jpg,"""Long time no Z""","fashion designer, sequel, fashion, male model, fashion show, modeling, fashion model, fashionista, runway model"
Arrival,18912.0,2016,Why are they here?,"Drama, Science Fiction, Mystery",Denis Villeneuve,/iQBIXJprC8AN7Jwx7aOI0gPUqff.jpg,"""Why are they here?""","india, short film"
Dumbo,4470.0,2019,Soar to new heights.,"Family, Fantasy, Adventure",Tim Burton,/qgibOIN9RDHiPdimw7Gc7YcY960.jpg,"""Soar to new heights.""","elephant, circus, missouri, remake, live action and animation, 1910s, live action remake, dumbo"
Frozen II,10128.0,2019,The past is not what it seems.,"Family, Animation, Adventure, Comedy, Fantasy","Jennifer Lee, Chris Buck",/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,"""The past is not what it seems.""","princess, magic, kingdom, winter, queen, castle, musical, sequel, dam, spirit, frozen, personification, thoughtful, mother daughter relationship, compassionate"
Rogue One: A Star Wars Story,16093.0,2016,Empires are built on fear. Rebellions are built on hope.,"Action, Adventure, Science Fiction",Gareth Edwards,/i0yw1mFbB7sNGHCs7EXZPzFkdA1.jpg,"""Empires are built on fear. Rebellions are built on hope.""","rebellion, spacecraft, rebel, space battle, space travel, prequel, female protagonist, space western, suicide mission, robot, spin off, space opera, alien language, against the odds, blind man"
The Choice,1935.0,2016,Let your heart decide.,"Drama, Romance",Ross Katz,/6MF3cdAasnF17SG9bmeamQ066iJ.jpg,"""Let your heart decide.""",abortion
Keeping Up with the Joneses,2105.0,2016,They lived a normal life... Until the Joneses moved in.,"Action, Comedy",Greg Mottola,/yvWcTrRCzE4C2hkd2wV4erPuKCn.jpg,"""They lived a normal life... Until the Joneses moved in.""","spy, suburb, new neighbor, neighborhood"
Little Women,6679.0,2019,"They have minds, and they have souls, as well as just hearts.","Drama, Romance, History",Greta Gerwig,/yn5ihODtZ7ofn8pDYfxCmxh8AXI.jpg,"""They have minds, and they have souls, as well as just hearts.""","based on novel or book, holiday, massachusetts, slice of life, tomboy, concord"
Storks,2463.0,2016,Find Your Flock,"Adventure, Animation, Comedy, Family","Doug Sweetland, Nicholas Stoller",/pwGolX8JmGJhhcUjO5SJt38Uk0m.jpg,"""Find Your Flock""","baby, stork, delivery service"
A Star Is Born,12070.0,2018,,"Music, Drama, Romance",Bradley Cooper,/wrFpXMNBRj2PBiN4Z5kix51XaIZ.jpg,"""nan""","career, husband wife relationship, musical, alcoholism, remake, fame, los angeles, california, rising star, partially lost film, fading star"
The Shallows,5241.0,2016,What was once in the deep is now in the shallows.,"Horror, Drama, Thriller",Jaume Collet-Serra,/bnBV7hZmLuA0Si5Aop481sPF2RY.jpg,"""What was once in the deep is now in the shallows.""","surfer, island, beach, mexico, animal attack, survival, creature, young woman, shark, great white shark, trapped, animal horror, prey"
Ready Player One,16517.0,2018,A better reality awaits.,"Adventure, Action, Science Fiction",Steven Spielberg,/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,"""A better reality awaits.""","future, based on novel or book, video game, virtual reality, dystopia, nostalgia, love, film in film, evil corporation, quest, 1980s, 2040s, based on young adult novel, columbus, ohio"
10 Cloverfield Lane,8447.0,2016,Monsters come in many forms.,"Thriller, Science Fiction, Drama, Horror",Dan Trachtenberg,/q8A39vcBDruhvoDTJd6L8a4lnTi.jpg,"""Monsters come in many forms.""","kidnapping, paranoia, bunker, basement, survivalist, apocalypse, car accident, captive"
The Magnificent Seven,6208.0,2016,Justice has a number.,"Adventure, Action, Western",Antoine Fuqua,/ezcS78TIjgr85pVdaPDd2rSPVNs.jpg,"""Justice has a number.""","friendship, village, horse, remake, bandit, farmer, cowboy, white man's burden, henry rifle, hired gun"
Captain Fantastic,6696.0,2016,He prepared them for everything except the outside world.,"Adventure, Drama",Matt Ross,/2sFME73GaD8UsUxPUKe60cPdLif.jpg,"""He prepared them for everything except the outside world.""","parent child relationship, new mexico, socialism, wilderness, road trip, family relationships, survivalist, homeschooling, in-laws, mental illness, death of mother, washington state, bohemian, school bus, isolated house, naturalist, off the grid, death of wife, social isolation, noam chomsky, living off the grid, pacific northwest"
